naslov,cena,starost,proizvajalec,letnik,velikost okvirja,material,velikost obročev,dolžina opisa,kategorija,posodobljeno,ogledi
SPECIALIZED Pitch comp 27.5 (M),420 €,Rabljeno,Specialized,2022,M,Aluminij,27.5 col (650b),157,Prednje vzmetena / XC kolesa,10.10.2025,6
Giant reign 1 29 ‼️NUJNO‼️,2.200 €,Rabljeno,Giant,2022,XL,Aluminij,29 col,587,Enduro kolesa,15.08.2025,959
"Specialized Pitch 27,5  velikost S",370 €,Rabljeno,Specialized,2021,S,Aluminij,27.5 col (650b),324,Prednje vzmetena / XC kolesa,03.10.2025,582
Cube Reaction Pro 2022 + Thule ProRide 598,950 €,Rabljeno,Cube,2022,XL,Aluminij,29 col,899,Prednje vzmetena / XC kolesa,08.10.2025,18
Santa Cruz Hightower 2023,4.400 €,Rabljeno,Santa Cruz,2023,M,Karbon,29 col,400,Enduro kolesa,12.10.2025,926
"TREK REMEDY 7, VELIKOST L",1.600 €,Rabljeno,Trek,2021,L,Aluminij,27.5 col (650b),686,Enduro kolesa,25.08.2025,243
Scott scale 960,640 €,Rabljeno,Scott,2014,M,Aluminij,29 col,549,Prednje vzmetena / XC kolesa,13.09.2025,97
KUPIM Scott Spark RC,Po dogovoru,Rabljeno,Scott,2024,M,Karbon,29 col,179,Prednje vzmetena / XC kolesa,02.10.2025,20
Giant Fathom 2 29 (M/Ž) vel. S,1.000 €,Rabljeno,Giant,2024,S,Aluminij,29 col,284,Prednje vzmetena / XC kolesa,22.08.2025,194
Devinci Troy Carbon 29 GX Eagle,1.790 €,Rabljeno,DeVinci,2020,L,Karbon,29 col,674,Enduro kolesa,24.07.2025,130
"CUBE ACCESS WS C:62 SL, 2020, velikost M, carbon",980 €,Rabljeno,Cube,2020,M,Karbon,29 col,266,Prednje vzmetena / XC kolesa,30.07.2025,245
"Commencal Meta AM V4.2 WC 27,5 col",1.300 €,Rabljeno,Commencal,2022,L,Aluminij,27.5 col (650b),250,Enduro kolesa,26.09.2025,607
Bulls Sharptail,350 €,Rabljeno,Ostalo,2018,S,Aluminij,27.5 col (650b),72,Prednje vzmetena / XC kolesa,04.10.2025,14
Trek remedy 7,2.500 €,Rabljeno,Trek,2022,L,Aluminij,Mullet (29 in 27.5),773,Enduro kolesa,10.10.2025,12
fuji bajk,1.000 €,Rabljeno,Fuji,2017,L,Aluminij,29 col,122,Prednje vzmetena / XC kolesa,15.07.2025,81
Cube Stereo enduro 170,2.200 €,Rabljeno,Cube,2021,L,Aluminij,29 col,215,Enduro kolesa,31.08.2025,603
"Santa Cruz Megatower CC, M veličina, 2020, top dijelovi",1.300 €,Poškodovano ali pokvarjeno,Santa Cruz,2019,M,Titan,29 col,55,Enduro kolesa,27.08.2025,190
"Yeti Sb160, vel. L",5.200 €,Rabljeno,Yeti,2023,L,Karbon,29 col,542,Enduro kolesa,15.07.2025,594
SCOTT Roxter 20 / otroško,290 €,Rabljeno,Scott,2022,XS,Aluminij,20 col,409,Gorska kolesa,26.09.2025,82
Lepierre Zesty AM 327 XL,750 €,Rabljeno,Lapierre,2018,XL,Aluminij,27.5 col (650b),278,Trail in All-Mountain kolesa,29.07.2025,383
Scott voltage 02,100 €,Rabljeno,Scott,2014,S,Jeklo,26 col,343,Trail in All-Mountain kolesa,10.09.2025,250
Specialized stumpjumper evo alloy,1.650 €,Rabljeno,Specialized,2022,L,Aluminij,27.5 col (650b),208,Enduro kolesa,08.08.2025,294
Santa Cruz Megatower V2 S-kit Enduro kolo,3.900 €,Rabljeno,Santa Cruz,2024,M,Karbon,29 col,293,Enduro kolesa,08.10.2025,502
Scott ramnson,1.200 €,Rabljeno,Scott,2019,M,Aluminij,29 col,240,Gorska kolesa,06.10.2025,15
Gorsko kolo Fuji Nevada 29 1.7,280 €,Rabljeno,Fuji,2019,L,Aluminij,29 col,340,Gorska kolesa,22.09.2025,30
Giant Trance X3 2022 Enduro Kolo,1.999 €,Rabljeno,Giant,2022,M,Aluminij,27.5 col (650b),551,Enduro kolesa,18.08.2025,88
TREK Y5,100 €,Rabljeno,Trek,2010 ali starejši,M,Aluminij,26 col,213,Trail in All-Mountain kolesa,22.08.2025,226
Giant trance 1.5 GE S,1.300 €,Rabljeno,Giant,2019,S,Aluminij,27.5 col (650b),448,Enduro kolesa,14.09.2025,180
Orbea Rallon M20 Fox Factory,2.500 €,Rabljeno,Orbea,2021,L,Karbon,29 col,583,Enduro kolesa,02.09.2025,287
GIANT 27.5col,1.200 €,Rabljeno,Giant,2017,M,Aluminij,27.5 col (650b),90,Gorska kolesa,14.09.2025,162
prodam žensko scott contesa kolo,500 €,Rabljeno,Scott,2022,M,Aluminij,29 col,99,Prednje vzmetena / XC kolesa,19.08.2025,159
Mondraker superfoxy xr,1.950 €,Rabljeno,Mondraker,2020,L,Karbon,29 col,32,Enduro kolesa,09.10.2025,132
Prodam Specialized stumpjumper,1.400 €,Rabljeno,Specialized,2022,S,Aluminij,29 col,147,Enduro kolesa,29.09.2025,107
2023 Giant reign 1 velikost L,2.000 €,Rabljeno,Giant,2023,L,Aluminij,29 col,290,Enduro kolesa,17.07.2025,63
Marin hawk hill 2,1.100 €,Rabljeno,Marin,2020,XL,Aluminij,27.5 col (650b),803,Enduro kolesa,09.10.2025,319
Giant Glory 2,800 €,Rabljeno,Giant,Neznan,L,Aluminij,26 col,300,Downhill in Freeride kolesa,18.07.2025,588
ORBEA Laufey H10 XL  140mm,1.350 €,Rabljeno,Orbea,2022,XL,Aluminij,29 col,776,Prednje vzmetena / XC kolesa,29.08.2025,316
Gorsko kolo Giant Reign Sx2,800 €,Rabljeno,Giant,2019,M,Aluminij,27.5 col (650b),133,Downhill in Freeride kolesa,11.09.2025,658
Giant Trance 3,1.100 €,Rabljeno,Giant,2021,M,Aluminij,29 col,485,Trail in All-Mountain kolesa,28.09.2025,116
Scott Ransom 920 L 2021 z upgrejdi,1.500 €,Rabljeno,Scott,2021,L,Aluminij,29 col,260,Enduro kolesa,06.09.2025,672
Norco Range c2 Medium,1.990 €,Rabljeno,Norco,2018,M,Karbon,27.5 col (650b),331,Enduro kolesa,12.08.2025,57
DeVinci wilson large 29”,3.000 €,Rabljeno,DeVinci,2023,L,Aluminij,29 col,442,Downhill in Freeride kolesa,06.10.2025,387
2023 Giant reign 1 velikost L,2.000 €,Rabljeno,Giant,2023,L,Aluminij,29 col,290,Enduro kolesa,17.07.2025,171
Elan ABLE ONE,300 €,Rabljeno,Ostalo,2010 ali starejši,M,Jeklo,26 col,227,Enduro kolesa,18.08.2025,533
"Orbea Alma 26""",600 €,Rabljeno,Orbea,2011,M,Karbon,26 col,223,Prednje vzmetena / XC kolesa,14.08.2025,107
GORSKO KOLO LAPIERRE,335 €,Rabljeno,Lapierre,2020,S,Aluminij,29 col,125,Prednje vzmetena / XC kolesa,08.10.2025,137
"Trek, session 8",850 €,Rabljeno,Trek,2016,M,Aluminij,26 col,53,Downhill in Freeride kolesa,11.10.2025,602
"Okvir Cube Two 15 Race 27.5""",300 €,Rabljeno,Cube,2018,M,Aluminij,27.5 col (650b),127,Downhill in Freeride kolesa,22.09.2025,171
Gorsko kolo,550 €,Rabljeno,Trek,2014,L,Karbon,29 col,31,Gorska kolesa,28.09.2025,032
lapierre spicy cf 7.9,3.900 €,Rabljeno,Lapierre,2023,L,Karbon,29 col,53,Enduro kolesa,19.07.2025,177
"GHOST RIOT Youth PRO (27,5)",1.070 €,Rabljeno,Ghost,2023,XS,Aluminij,27.5 col (650b),698,Trail in All-Mountain kolesa,01.10.2025,119
Specialized Epic Comp - L,990 €,Rabljeno,Specialized,2019,L,Aluminij,29 col,673,Trail in All-Mountain kolesa,11.09.2025,107
Trek slash 8 costum,2.100 €,Rabljeno,Trek,2023,XL,Aluminij,29 col,269,Enduro kolesa,01.09.2025,180
"Scott ransom 930, 2019",2.500 €,Rabljeno,Scott,2019,S,Aluminij,29 col,87,Enduro kolesa,19.09.2025,370
